"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pavisam","Lauces","Bauskas novads",842
"Pavisam","Lauces","Cēsu novads",1104
"Pavisam","Lauces","Dienvidkurzemes novads",1946
"Pavisam","Lauces","Dobeles novads",356
"Pavisam","Lauces","Gulbenes novads",304
"Pavisam","Lauces","Jelgavas novads",213
"Pavisam","Lauces","Jēkabpils novads",1864
"Pavisam","Lauces","Krāslavas novads",767
"Pavisam","Lauces","Kuldīgas novads",1204
"Pavisam","Lauces","Ķekavas novads",185
"Pavisam","Lauces","Limbažu novads",759
"Pavisam","Lauces","Līvānu novads",134
"Pavisam","Lauces","Ludzas novads",1186
"Pavisam","Lauces","Madonas novads (no 01.07.2025.)",0
"Pavisam","Lauces","Madonas novads",1294
"Pavisam","Lauces","Mārupes novads",127
"Pavisam","Lauces","Ogres novads",787
"Pavisam","Lauces","Olaines novads",127
"Pavisam","Lauces","Preiļu novads",398
"Pavisam","Lauces","Rēzeknes novads",859
"Pavisam","Lauces","Ropažu novads",89
"Pavisam","Lauces","Salaspils novads",23
"Pavisam","Lauces","Saldus novads",1081
"Pavisam","Lauces","Saulkrastu novads",45
"Pavisam","Lauces","Siguldas novads",185
"Pavisam","Lauces","Smiltenes novads",579
"Pavisam","Lauces","Talsu novads",1247
"Pavisam","Lauces","Tukuma novads",848
"Pavisam","Lauces","Valkas novads",308
"Pavisam","Lauces","Valmieras novads",1037
"Pavisam","Lauces","Varakļānu novads",101
"Pavisam","Lauces","Ventspils novads",1146
"Pavisam","Pārplūstošie klajumi","Latvija",18943
"Pavisam","Pārplūstošie klajumi","Rīga",8
"Pavisam","Pārplūstošie klajumi","Daugavpils",3
"Pavisam","Pārplūstošie klajumi","Jelgava",0
"Pavisam","Pārplūstošie klajumi","Jēkabpils",0
"Pavisam","Pārplūstošie klajumi","Jūrmala",194
"Pavisam","Pārplūstošie klajumi","Liepāja",19
"Pavisam","Pārplūstošie klajumi","Ogre",0
"Pavisam","Pārplūstošie klajumi","Rēzekne",0
"Pavisam","Pārplūstošie klajumi","Valmiera",2
"Pavisam","Pārplūstošie klajumi","Ventspils",2
"Pavisam","Pārplūstošie klajumi","Aizkraukles novads",699
"Pavisam","Pārplūstošie klajumi","Alūksnes novads",356
"Pavisam","Pārplūstošie klajumi","Augšdaugavas novads",767
"Pavisam","Pārplūstošie klajumi","Ādažu novads",14
"Pavisam","Pārplūstošie klajumi","Balvu novads",230
"Pavisam","Pārplūstošie klajumi","Bauskas novads",592
"Pavisam","Pārplūstošie klajumi","Cēsu novads",1035
"Pavisam","Pārplūstošie klajumi","Dienvidkurzemes novads",1854
"Pavisam","Pārplūstošie klajumi","Dobeles novads",766
"Pavisam","Pārplūstošie klajumi","Gulbenes novads",319
"Pavisam","Pārplūstošie klajumi","Jelgavas novads",190
"Pavisam","Pārplūstošie klajumi","Jēkabpils novads",635
"Pavisam","Pārplūstošie klajumi","Krāslavas novads",593
"Pavisam","Pārplūstošie klajumi","Kuldīgas novads",1329
"Pavisam","Pārplūstošie klajumi","Ķekavas novads",36
"Pavisam","Pārplūstošie klajumi","Limbažu novads",411
"Pavisam","Pārplūstošie klajumi","Līvānu novads",44
"Pavisam","Pārplūstošie klajumi","Ludzas novads",601
"Pavisam","Pārplūstošie klajumi","Madonas novads (no 01.07.2025.)",0
"Pavisam","Pārplūstošie klajumi","Madonas novads",640
"Pavisam","Pārplūstošie klajumi","Mārupes novads",188
"Pavisam","Pārplūstošie klajumi","Ogres novads",236
"Pavisam","Pārplūstošie klajumi","Olaines novads",47
"Pavisam","Pārplūstošie klajumi","Preiļu novads",155
"Pavisam","Pārplūstošie klajumi","Rēzeknes novads",440
"Pavisam","Pārplūstošie klajumi","Ropažu novads",107
"Pavisam","Pārplūstošie klajumi","Salaspils novads",6
"Pavisam","Pārplūstošie klajumi","Saldus novads",1458
"Pavisam","Pārplūstošie klajumi","Saulkrastu novads",50
"Pavisam","Pārplūstošie klajumi","Siguldas novads",170
"Pavisam","Pārplūstošie klajumi","Smiltenes novads",464
"Pavisam","Pārplūstošie klajumi","Talsu novads",1007
"Pavisam","Pārplūstošie klajumi","Tukuma novads",1163
"Pavisam","Pārplūstošie klajumi","Valkas novads",218
"Pavisam","Pārplūstošie klajumi","Valmieras novads",1061
"Pavisam","Pārplūstošie klajumi","Varakļānu novads",16
"Pavisam","Pārplūstošie klajumi","Ventspils novads",818
"Pavisam","Zem infrastruktūras objektiem","Latvija",90298
"Pavisam","Zem infrastruktūras objektiem","Rīga",38
"Pavisam","Zem infrastruktūras objektiem","Daugavpils",16
"Pavisam","Zem infrastruktūras objektiem","Jelgava",58
"Pavisam","Zem infrastruktūras objektiem","Jēkabpils",0
"Pavisam","Zem infrastruktūras objektiem","Jūrmala",13
"Pavisam","Zem infrastruktūras objektiem","Liepāja",1
"Pavisam","Zem infrastruktūras objektiem","Ogre",2
"Pavisam","Zem infrastruktūras objektiem","Rēzekne",0
"Pavisam","Zem infrastruktūras objektiem","Valmiera",1
"Pavisam","Zem infrastruktūras objektiem","Ventspils",6
"Pavisam","Zem infrastruktūras objektiem","Aizkraukles novads",4791
"Pavisam","Zem infrastruktūras objektiem","Alūksnes novads",2942
"Pavisam","Zem infrastruktūras objektiem","Augšdaugavas novads",2397
"Pavisam","Zem infrastruktūras objektiem","Ādažu novads",138
"Pavisam","Zem infrastruktūras objektiem","Balvu novads",3222
"Pavisam","Zem infrastruktūras objektiem","Bauskas novads",3101
"Pavisam","Zem infrastruktūras objektiem","Cēsu novads",1590
"Pavisam","Zem infrastruktūras objektiem","Dienvidkurzemes novads",5531
"Pavisam","Zem infrastruktūras objektiem","Dobeles novads",2049
"Pavisam","Zem infrastruktūras objektiem","Gulbenes novads",3775
"Pavisam","Zem infrastruktūras objektiem","Jelgavas novads",2898
"Pavisam","Zem infrastruktūras objektiem","Jēkabpils novads",4035
"Pavisam","Zem infrastruktūras objektiem","Krāslavas novads",699
"Pavisam","Zem infrastruktūras objektiem","Kuldīgas novads",3593
"Pavisam","Zem infrastruktūras objektiem","Ķekavas novads",1132
"Pavisam","Zem infrastruktūras objektiem","Limbažu novads",3438
"Pavisam","Zem infrastruktūras objektiem","Līvānu novads",895
"Pavisam","Zem infrastruktūras objektiem","Ludzas novads",1917
