"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pārējie meži","Mežs","Olaines novads",7553
"Pārējie meži","Mežs","Preiļu novads",36672
"Pārējie meži","Mežs","Rēzeknes novads",71310
"Pārējie meži","Mežs","Ropažu novads",23642
"Pārējie meži","Mežs","Salaspils novads",3262
"Pārējie meži","Mežs","Saldus novads",44541
"Pārējie meži","Mežs","Saulkrastu novads",7059
"Pārējie meži","Mežs","Siguldas novads",29100
"Pārējie meži","Mežs","Smiltenes novads",53556
"Pārējie meži","Mežs","Talsu novads",59036
"Pārējie meži","Mežs","Tukuma novads",43813
"Pārējie meži","Mežs","Valkas novads",21470
"Pārējie meži","Mežs","Valmieras novads",93240
"Pārējie meži","Mežs","Varakļānu novads",2541
"Pārējie meži","Mežs","Ventspils novads",44416
"Pārējie meži","..mežaudzes","Latvija",1536565
"Pārējie meži","..mežaudzes","Rīga",5193
"Pārējie meži","..mežaudzes","Daugavpils",1436
"Pārējie meži","..mežaudzes","Jelgava",730
"Pārējie meži","..mežaudzes","Jēkabpils",106
"Pārējie meži","..mežaudzes","Jūrmala",2284
"Pārējie meži","..mežaudzes","Liepāja",985
"Pārējie meži","..mežaudzes","Ogre",208
"Pārējie meži","..mežaudzes","Rēzekne",8
"Pārējie meži","..mežaudzes","Valmiera",327
"Pārējie meži","..mežaudzes","Ventspils",948
"Pārējie meži","..mežaudzes","Aizkraukles novads",52244
"Pārējie meži","..mežaudzes","Alūksnes novads",56508
"Pārējie meži","..mežaudzes","Augšdaugavas novads",43977
"Pārējie meži","..mežaudzes","Ādažu novads",5238
"Pārējie meži","..mežaudzes","Balvu novads",64495
"Pārējie meži","..mežaudzes","Bauskas novads",29319
"Pārējie meži","..mežaudzes","Cēsu novads",99522
"Pārējie meži","..mežaudzes","Dienvidkurzemes novads",64166
"Pārējie meži","..mežaudzes","Dobeles novads",17290
"Pārējie meži","..mežaudzes","Gulbenes novads",48100
"Pārējie meži","..mežaudzes","Jelgavas novads",8767
"Pārējie meži","..mežaudzes","Jēkabpils novads",66237
"Pārējie meži","..mežaudzes","Krāslavas novads",70740
"Pārējie meži","..mežaudzes","Kuldīgas novads",58047
"Pārējie meži","..mežaudzes","Ķekavas novads",10192
"Pārējie meži","..mežaudzes","Limbažu novads",77761
"Pārējie meži","..mežaudzes","Līvānu novads",9716
"Pārējie meži","..mežaudzes","Ludzas novads",79465
"Pārējie meži","..mežaudzes","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","..mežaudzes","Madonas novads",95238
"Pārējie meži","..mežaudzes","Mārupes novads",10346
"Pārējie meži","..mežaudzes","Ogres novads",51119
"Pārējie meži","..mežaudzes","Olaines novads",7285
"Pārējie meži","..mežaudzes","Preiļu novads",33961
"Pārējie meži","..mežaudzes","Rēzeknes novads",66608
"Pārējie meži","..mežaudzes","Ropažu novads",22880
"Pārējie meži","..mežaudzes","Salaspils novads",3034
"Pārējie meži","..mežaudzes","Saldus novads",41563
"Pārējie meži","..mežaudzes","Saulkrastu novads",6606
"Pārējie meži","..mežaudzes","Siguldas novads",26938
"Pārējie meži","..mežaudzes","Smiltenes novads",49668
"Pārējie meži","..mežaudzes","Talsu novads",55226
"Pārējie meži","..mežaudzes","Tukuma novads",40997
"Pārējie meži","..mežaudzes","Valkas novads",20083
"Pārējie meži","..mežaudzes","Valmieras novads",87075
"Pārējie meži","..mežaudzes","Varakļānu novads",2317
"Pārējie meži","..mežaudzes","Ventspils novads",42254
"Pārējie meži","Purvi","Latvija",29321
"Pārējie meži","Purvi","Rīga",20
"Pārējie meži","Purvi","Daugavpils",9
"Pārējie meži","Purvi","Jelgava",0
"Pārējie meži","Purvi","Jēkabpils",0
"Pārējie meži","Purvi","Jūrmala",55
"Pārējie meži","Purvi","Liepāja",49
"Pārējie meži","Purvi","Ogre",0
"Pārējie meži","Purvi","Rēzekne",0
"Pārējie meži","Purvi","Valmiera",0
"Pārējie meži","Purvi","Ventspils",107
"Pārējie meži","Purvi","Aizkraukles novads",354
"Pārējie meži","Purvi","Alūksnes novads",1266
"Pārējie meži","Purvi","Augšdaugavas novads",1139
"Pārējie meži","Purvi","Ādažu novads",29
"Pārējie meži","Purvi","Balvu novads",1419
"Pārējie meži","Purvi","Bauskas novads",237
"Pārējie meži","Purvi","Cēsu novads",1504
"Pārējie meži","Purvi","Dienvidkurzemes novads",869
"Pārējie meži","Purvi","Dobeles novads",129
"Pārējie meži","Purvi","Gulbenes novads",518
"Pārējie meži","Purvi","Jelgavas novads",111
"Pārējie meži","Purvi","Jēkabpils novads",605
"Pārējie meži","Purvi","Krāslavas novads",1882
"Pārējie meži","Purvi","Kuldīgas novads",733
"Pārējie meži","Purvi","Ķekavas novads",143
"Pārējie meži","Purvi","Limbažu novads",1279
"Pārējie meži","Purvi","Līvānu novads",72
"Pārējie meži","Purvi","Ludzas novads",2177
"Pārējie meži","Purvi","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Purvi","Madonas novads",1912
"Pārējie meži","Purvi","Mārupes novads",1908
"Pārējie meži","Purvi","Ogres novads",304
"Pārējie meži","Purvi","Olaines novads",647
"Pārējie meži","Purvi","Preiļu novads",942
"Pārējie meži","Purvi","Rēzeknes novads",3102
"Pārējie meži","Purvi","Ropažu novads",250
"Pārējie meži","Purvi","Salaspils novads",87
"Pārējie meži","Purvi","Saldus novads",306
"Pārējie meži","Purvi","Saulkrastu novads",149
"Pārējie meži","Purvi","Siguldas novads",569
"Pārējie meži","Purvi","Smiltenes novads",566
"Pārējie meži","Purvi","Talsu novads",226
"Pārējie meži","Purvi","Tukuma novads",756
"Pārējie meži","Purvi","Valkas novads",382
"Pārējie meži","Purvi","Valmieras novads",1957
"Pārējie meži","Purvi","Varakļānu novads",82
"Pārējie meži","Purvi","Ventspils novads",470
"Pārējie meži","Lauces","Latvija",16478
"Pārējie meži","Lauces","Rīga",13
"Pārējie meži","Lauces","Daugavpils",7
"Pārējie meži","Lauces","Jelgava",1
"Pārējie meži","Lauces","Jēkabpils",1
"Pārējie meži","Lauces","Jūrmala",4
"Pārējie meži","Lauces","Liepāja",95
"Pārējie meži","Lauces","Ogre",2
"Pārējie meži","Lauces","Rēzekne",0
"Pārējie meži","Lauces","Valmiera",2
"Pārējie meži","Lauces","Ventspils",13
"Pārējie meži","Lauces","Aizkraukles novads",546
"Pārējie meži","Lauces","Alūksnes novads",391
"Pārējie meži","Lauces","Augšdaugavas novads",378
"Pārējie meži","Lauces","Ādažu novads",11
"Pārējie meži","Lauces","Balvu novads",353
"Pārējie meži","Lauces","Bauskas novads",361
"Pārējie meži","Lauces","Cēsu novads",737
"Pārējie meži","Lauces","Dienvidkurzemes novads",1316
"Pārējie meži","Lauces","Dobeles novads",145
"Pārējie meži","Lauces","Gulbenes novads",253
"Pārējie meži","Lauces","Jelgavas novads",84
"Pārējie meži","Lauces","Jēkabpils novads",1146
"Pārējie meži","Lauces","Krāslavas novads",700
"Pārējie meži","Lauces","Kuldīgas novads",771
"Pārējie meži","Lauces","Ķekavas novads",138
"Pārējie meži","Lauces","Limbažu novads",709
"Pārējie meži","Lauces","Līvānu novads",108
"Pārējie meži","Lauces","Ludzas novads",1000
"Pārējie meži","Lauces","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Lauces","Madonas novads",731
"Pārējie meži","Lauces","Mārupes novads",112
"Pārējie meži","Lauces","Ogres novads",688
"Pārējie meži","Lauces","Olaines novads",99
"Pārējie meži","Lauces","Preiļu novads",352
"Pārējie meži","Lauces","Rēzeknes novads",660
"Pārējie meži","Lauces","Ropažu novads",69
"Pārējie meži","Lauces","Salaspils novads",21
"Pārējie meži","Lauces","Saldus novads",653
"Pārējie meži","Lauces","Saulkrastu novads",23
"Pārējie meži","Lauces","Siguldas novads",119
"Pārējie meži","Lauces","Smiltenes novads",387
"Pārējie meži","Lauces","Talsu novads",848
"Pārējie meži","Lauces","Tukuma novads",568
"Pārējie meži","Lauces","Valkas novads",253
"Pārējie meži","Lauces","Valmieras novads",861
"Pārējie meži","Lauces","Varakļānu novads",53
"Pārējie meži","Lauces","Ventspils novads",701
"Pārējie meži","Pārplūstošie klajumi","Latvija",9729
"Pārējie meži","Pārplūstošie klajumi","Rīga",8
"Pārējie meži","Pārplūstošie klajumi","Daugavpils",3
"Pārējie meži","Pārplūstošie klajumi","Jelgava",0
"Pārējie meži","Pārplūstošie klajumi","Jēkabpils",0
"Pārējie meži","Pārplūstošie klajumi","Jūrmala",15
"Pārējie meži","Pārplūstošie klajumi","Liepāja",19
"Pārējie meži","Pārplūstošie klajumi","Ogre",0
"Pārējie meži","Pārplūstošie klajumi","Rēzekne",0
"Pārējie meži","Pārplūstošie klajumi","Valmiera",0
"Pārējie meži","Pārplūstošie klajumi","Ventspils",1
"Pārējie meži","Pārplūstošie klajumi","Aizkraukles novads",318
"Pārējie meži","Pārplūstošie klajumi","Alūksnes novads",223
"Pārējie meži","Pārplūstošie klajumi","Augšdaugavas novads",388
"Pārējie meži","Pārplūstošie klajumi","Ādažu novads",5
"Pārējie meži","Pārplūstošie klajumi","Balvu novads",120
"Pārējie meži","Pārplūstošie klajumi","Bauskas novads",270
"Pārējie meži","Pārplūstošie klajumi","Cēsu novads",546
"Pārējie meži","Pārplūstošie klajumi","Dienvidkurzemes novads",1074
"Pārējie meži","Pārplūstošie klajumi","Dobeles novads",297
"Pārējie meži","Pārplūstošie klajumi","Gulbenes novads",167
"Pārējie meži","Pārplūstošie klajumi","Jelgavas novads",41
"Pārējie meži","Pārplūstošie klajumi","Jēkabpils novads",407
"Pārējie meži","Pārplūstošie klajumi","Krāslavas novads",514
"Pārējie meži","Pārplūstošie klajumi","Kuldīgas novads",809
"Pārējie meži","Pārplūstošie klajumi","Ķekavas novads",17
"Pārējie meži","Pārplūstošie klajumi","Limbažu novads",304
"Pārējie meži","Pārplūstošie klajumi","Līvānu novads",13
"Pārējie meži","Pārplūstošie klajumi","Ludzas novads",472
"Pārējie meži","Pārplūstošie klajumi","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Pārplūstošie klajumi","Madonas novads",457
"Pārējie meži","Pārplūstošie klajumi","Mārupes novads",120
"Pārējie meži","Pārplūstošie klajumi","Ogres novads",130
"Pārējie meži","Pārplūstošie klajumi","Olaines novads",44
"Pārējie meži","Pārplūstošie klajumi","Preiļu novads",140
"Pārējie meži","Pārplūstošie klajumi","Rēzeknes novads",363
"Pārējie meži","Pārplūstošie klajumi","Ropažu novads",85
"Pārējie meži","Pārplūstošie klajumi","Salaspils novads",2
"Pārējie meži","Pārplūstošie klajumi","Saldus novads",846
"Pārējie meži","Pārplūstošie klajumi","Saulkrastu novads",8
"Pārējie meži","Pārplūstošie klajumi","Siguldas novads",86
"Pārējie meži","Pārplūstošie klajumi","Smiltenes novads",282
"Pārējie meži","Pārplūstošie klajumi","Talsu novads",321
"Pārējie meži","Pārplūstošie klajumi","Tukuma novads",365
"Pārējie meži","Pārplūstošie klajumi","Valkas novads",77
"Pārējie meži","Pārplūstošie klajumi","Valmieras novads",226
"Pārējie meži","Pārplūstošie klajumi","Varakļānu novads",2
"Pārējie meži","Pārplūstošie klajumi","Ventspils novads",146
"Pārējie meži","Zem infrastruktūras objektiem","Latvija",15533
"Pārējie meži","Zem infrastruktūras objektiem","Rīga",38
"Pārējie meži","Zem infrastruktūras objektiem","Daugavpils",8
"Pārējie meži","Zem infrastruktūras objektiem","Jelgava",21
"Pārējie meži","Zem infrastruktūras objektiem","Jēkabpils",0
"Pārējie meži","Zem infrastruktūras objektiem","Jūrmala",13
"Pārējie meži","Zem infrastruktūras objektiem","Liepāja",1
"Pārējie meži","Zem infrastruktūras objektiem","Ogre",2
"Pārējie meži","Zem infrastruktūras objektiem","Rēzekne",0
"Pārējie meži","Zem infrastruktūras objektiem","Valmiera",1
"Pārējie meži","Zem infrastruktūras objektiem","Ventspils",6
"Pārējie meži","Zem infrastruktūras objektiem","Aizkraukles novads",537
"Pārējie meži","Zem infrastruktūras objektiem","Alūksnes novads",483
"Pārējie meži","Zem infrastruktūras objektiem","Augšdaugavas novads",367
"Pārējie meži","Zem infrastruktūras objektiem","Ādažu novads",85
"Pārējie meži","Zem infrastruktūras objektiem","Balvu novads",564
"Pārējie meži","Zem infrastruktūras objektiem","Bauskas novads",473
"Pārējie meži","Zem infrastruktūras objektiem","Cēsu novads",526
"Pārējie meži","Zem infrastruktūras objektiem","Dienvidkurzemes novads",401
"Pārējie meži","Zem infrastruktūras objektiem","Dobeles novads",259
"Pārējie meži","Zem infrastruktūras objektiem","Gulbenes novads",598
"Pārējie meži","Zem infrastruktūras objektiem","Jelgavas novads",204
"Pārējie meži","Zem infrastruktūras objektiem","Jēkabpils novads",642
"Pārējie meži","Zem infrastruktūras objektiem","Krāslavas novads",380
"Pārējie meži","Zem infrastruktūras objektiem","Kuldīgas novads",220
"Pārējie meži","Zem infrastruktūras objektiem","Ķekavas novads",313
"Pārējie meži","Zem infrastruktūras objektiem","Limbažu novads",787
"Pārējie meži","Zem infrastruktūras objektiem","Līvānu novads",135
"Pārējie meži","Zem infrastruktūras objektiem","Ludzas novads",572
"Pārējie meži","Zem infrastruktūras objektiem","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Zem infrastruktūras objektiem","Madonas novads",759
"Pārējie meži","Zem infrastruktūras objektiem","Mārupes novads",543
"Pārējie meži","Zem infrastruktūras objektiem","Ogres novads",788
"Pārējie meži","Zem infrastruktūras objektiem","Olaines novads",368
"Pārējie meži","Zem infrastruktūras objektiem","Preiļu novads",350
"Pārējie meži","Zem infrastruktūras objektiem","Rēzeknes novads",506
"Pārējie meži","Zem infrastruktūras objektiem","Ropažu novads",461
"Pārējie meži","Zem infrastruktūras objektiem","Salaspils novads",69
"Pārējie meži","Zem infrastruktūras objektiem","Saldus novads",312
"Pārējie meži","Zem infrastruktūras objektiem","Saulkrastu novads",75
"Pārējie meži","Zem infrastruktūras objektiem","Siguldas novads",285
"Pārējie meži","Zem infrastruktūras objektiem","Smiltenes novads",429
"Pārējie meži","Zem infrastruktūras objektiem","Talsu novads",804
"Pārējie meži","Zem infrastruktūras objektiem","Tukuma novads",420
"Pārējie meži","Zem infrastruktūras objektiem","Valkas novads",209
"Pārējie meži","Zem infrastruktūras objektiem","Valmieras novads",877
"Pārējie meži","Zem infrastruktūras objektiem","Varakļānu novads",35
"Pārējie meži","Zem infrastruktūras objektiem","Ventspils novads",612
"Pārējie meži","..ceļi","Latvija",2576
"Pārējie meži","..ceļi","Rīga",23
"Pārējie meži","..ceļi","Daugavpils",8
"Pārējie meži","..ceļi","Jelgava",0
"Pārējie meži","..ceļi","Jēkabpils",0
"Pārējie meži","..ceļi","Jūrmala",5
"Pārējie meži","..ceļi","Liepāja",1
"Pārējie meži","..ceļi","Ogre",1
"Pārējie meži","..ceļi","Rēzekne",0
"Pārējie meži","..ceļi","Valmiera",1
"Pārējie meži","..ceļi","Ventspils",5
"Pārējie meži","..ceļi","Aizkraukles novads",59
"Pārējie meži","..ceļi","Alūksnes novads",87
"Pārējie meži","..ceļi","Augšdaugavas novads",129
"Pārējie meži","..ceļi","Ādažu novads",23
"Pārējie meži","..ceļi","Balvu novads",99
"Pārējie meži","..ceļi","Bauskas novads",121
"Pārējie meži","..ceļi","Cēsu novads",71
"Pārējie meži","..ceļi","Dienvidkurzemes novads",60
"Pārējie meži","..ceļi","Dobeles novads",42
"Pārējie meži","..ceļi","Gulbenes novads",154
"Pārējie meži","..ceļi","Jelgavas novads",55
"Pārējie meži","..ceļi","Jēkabpils novads",60
"Pārējie meži","..ceļi","Krāslavas novads",150
"Pārējie meži","..ceļi","Kuldīgas novads",41
"Pārējie meži","..ceļi","Ķekavas novads",58
"Pārējie meži","..ceļi","Limbažu novads",50
"Pārējie meži","..ceļi","Līvānu novads",22
"Pārējie meži","..ceļi","Ludzas novads",77
"Pārējie meži","..ceļi","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","..ceļi","Madonas novads",108
"Pārējie meži","..ceļi","Mārupes novads",72
"Pārējie meži","..ceļi","Ogres novads",123
"Pārējie meži","..ceļi","Olaines novads",56
"Pārējie meži","..ceļi","Preiļu novads",86
"Pārējie meži","..ceļi","Rēzeknes novads",68
"Pārējie meži","..ceļi","Ropažu novads",150
"Pārējie meži","..ceļi","Salaspils novads",12
"Pārējie meži","..ceļi","Saldus novads",38
"Pārējie meži","..ceļi","Saulkrastu novads",5
"Pārējie meži","..ceļi","Siguldas novads",30
"Pārējie meži","..ceļi","Smiltenes novads",59
"Pārējie meži","..ceļi","Talsu novads",85
"Pārējie meži","..ceļi","Tukuma novads",75
"Pārējie meži","..ceļi","Valkas novads",19
"Pārējie meži","..ceļi","Valmieras novads",90
"Pārējie meži","..ceļi","Varakļānu novads",2
"Pārējie meži","..ceļi","Ventspils novads",96
"Pārējie meži","..grāvji","Latvija",12958
"Pārējie meži","..grāvji","Rīga",15
"Pārējie meži","..grāvji","Daugavpils",0
"Pārējie meži","..grāvji","Jelgava",21
"Pārējie meži","..grāvji","Jēkabpils",0
"Pārējie meži","..grāvji","Jūrmala",8
"Pārējie meži","..grāvji","Liepāja",1
"Pārējie meži","..grāvji","Ogre",1
"Pārējie meži","..grāvji","Rēzekne",0
"Pārējie meži","..grāvji","Valmiera",0
"Pārējie meži","..grāvji","Ventspils",1
"Pārējie meži","..grāvji","Aizkraukles novads",478
"Pārējie meži","..grāvji","Alūksnes novads",396
"Pārējie meži","..grāvji","Augšdaugavas novads",238
"Pārējie meži","..grāvji","Ādažu novads",62
"Pārējie meži","..grāvji","Balvu novads",464
"Pārējie meži","..grāvji","Bauskas novads",351
"Pārējie meži","..grāvji","Cēsu novads",455
"Pārējie meži","..grāvji","Dienvidkurzemes novads",341
"Pārējie meži","..grāvji","Dobeles novads",216
"Pārējie meži","..grāvji","Gulbenes novads",445
"Pārējie meži","..grāvji","Jelgavas novads",150
"Pārējie meži","..grāvji","Jēkabpils novads",582
"Pārējie meži","..grāvji","Krāslavas novads",230
"Pārējie meži","..grāvji","Kuldīgas novads",179
"Pārējie meži","..grāvji","Ķekavas novads",255
"Pārējie meži","..grāvji","Limbažu novads",737
"Pārējie meži","..grāvji","Līvānu novads",113
"Pārējie meži","..grāvji","Ludzas novads",494
"Pārējie meži","..grāvji","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","..grāvji","Madonas novads",651
"Pārējie meži","..grāvji","Mārupes novads",471
"Pārējie meži","..grāvji","Ogres novads",666
"Pārējie meži","..grāvji","Olaines novads",312
"Pārējie meži","..grāvji","Preiļu novads",264
"Pārējie meži","..grāvji","Rēzeknes novads",438
"Pārējie meži","..grāvji","Ropažu novads",311
"Pārējie meži","..grāvji","Salaspils novads",56
"Pārējie meži","..grāvji","Saldus novads",274
"Pārējie meži","..grāvji","Saulkrastu novads",70
"Pārējie meži","..grāvji","Siguldas novads",256
"Pārējie meži","..grāvji","Smiltenes novads",370
"Pārējie meži","..grāvji","Talsu novads",719
"Pārējie meži","..grāvji","Tukuma novads",344
"Pārējie meži","..grāvji","Valkas novads",190
"Pārējie meži","..grāvji","Valmieras novads",787
"Pārējie meži","..grāvji","Varakļānu novads",34
"Pārējie meži","..grāvji","Ventspils novads",516
"Pārējie meži","Pārējās meža zemes","Latvija",9816
"Pārējie meži","Pārējās meža zemes","Rīga",38
"Pārējie meži","Pārējās meža zemes","Daugavpils",0
"Pārējie meži","Pārējās meža zemes","Jelgava",0
"Pārējie meži","Pārējās meža zemes","Jēkabpils",0
"Pārējie meži","Pārējās meža zemes","Jūrmala",23
"Pārējie meži","Pārējās meža zemes","Liepāja",17
"Pārējie meži","Pārējās meža zemes","Ogre",0
"Pārējie meži","Pārējās meža zemes","Rēzekne",0
"Pārējie meži","Pārējās meža zemes","Valmiera",0
"Pārējie meži","Pārējās meža zemes","Ventspils",7
"Pārējie meži","Pārējās meža zemes","Aizkraukles novads",169
"Pārējie meži","Pārējās meža zemes","Alūksnes novads",403
"Pārējie meži","Pārējās meža zemes","Augšdaugavas novads",287
"Pārējie meži","Pārējās meža zemes","Ādažu novads",8
"Pārējie meži","Pārējās meža zemes","Balvu novads",133
"Pārējie meži","Pārējās meža zemes","Bauskas novads",127
"Pārējie meži","Pārējās meža zemes","Cēsu novads",853
"Pārējie meži","Pārējās meža zemes","Dienvidkurzemes novads",553
"Pārējie meži","Pārējās meža zemes","Dobeles novads",184
"Pārējie meži","Pārējās meža zemes","Gulbenes novads",218
"Pārējie meži","Pārējās meža zemes","Jelgavas novads",2
"Pārējie meži","Pārējās meža zemes","Jēkabpils novads",162
"Pārējie meži","Pārējās meža zemes","Krāslavas novads",492
"Pārējie meži","Pārējās meža zemes","Kuldīgas novads",352
"Pārējie meži","Pārējās meža zemes","Ķekavas novads",127
"Pārējie meži","Pārējās meža zemes","Limbažu novads",397
"Pārējie meži","Pārējās meža zemes","Līvānu novads",5
"Pārējie meži","Pārējās meža zemes","Ludzas novads",664
"Pārējie meži","Pārējās meža zemes","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Pārējās meža zemes","Madonas novads",411
"Pārējie meži","Pārējās meža zemes","Mārupes novads",557
"Pārējie meži","Pārējās meža zemes","Ogres novads",166
"Pārējie meži","Pārējās meža zemes","Olaines novads",1408
"Pārējie meži","Pārējās meža zemes","Preiļu novads",146
"Pārējie meži","Pārējās meža zemes","Rēzeknes novads",273
"Pārējie meži","Pārējās meža zemes","Ropažu novads",77
"Pārējie meži","Pārējās meža zemes","Salaspils novads",27
"Pārējie meži","Pārējās meža zemes","Saldus novads",163
"Pārējie meži","Pārējās meža zemes","Saulkrastu novads",21
"Pārējie meži","Pārējās meža zemes","Siguldas novads",77
"Pārējie meži","Pārējās meža zemes","Smiltenes novads",345
"Pārējie meži","Pārējās meža zemes","Talsu novads",275
"Pārējie meži","Pārējās meža zemes","Tukuma novads",105
"Pārējie meži","Pārējās meža zemes","Valkas novads",89
"Pārējie meži","Pārējās meža zemes","Valmieras novads",398
"Pārējie meži","Pārējās meža zemes","Varakļānu novads",3
"Pārējie meži","Pārējās meža zemes","Ventspils novads",53
