Municipality,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%
Trapenes pag.,182.29,282,0.0,0.0
Trikātas pag.,243.71,542,0.0,0.0
Tukums,277.21,3056,2175.0,12.75
Tumes pag.,293.65,767,0.0,0.0
Turku pag.,159.53,179,0.0,0.0
Turlavas pag.,244.09,583,0.0,0.0
Tārgales pag.,804.82,1268,0.0,0.0
Tērvetes pag.,309.59,817,0.0,0.0
Tīnūžu pag.,609.6,2538,0.0,0.0
Ugāles pag.,519.89,729,0.0,0.0
Ukru pag.,129.76,147,0.0,0.0
Umurgas pag.,250.29,411,0.0,0.0
Upmalas pag.,161.98,181,0.0,0.0
Usmas pag.,237.21,328,0.0,0.0
Užavas pag.,332.11,563,0.0,0.0
Vaboles pag.,165.29,234,0.0,0.0
Vadakstes pag.,121.13,129,0.0,0.0
Vaidavas pag.,214.56,453,0.0,0.0
Vaives pag.,353.99,676,0.0,0.0
Vaiņodes pag.,316.83,499,0.0,0.0
Valdemārpils,74.26,445,0.0,0.0
Valdgales pag.,312.31,734,0.0,0.0
Valgundes pag.,458.71,942,0.0,0.0
Valka,173.55,993,492.0,35.27
Valkas pag.,462.92,584,0.0,0.0
Valles pag.,393.07,1045,0.0,0.0
Valmiera,449.42,5391,2075.0,21.66
Valmieras pag.,267.07,1039,0.0,0.0
Vandzenes pag.,343.89,805,0.0,0.0
Vangaži,66.11,529,0.0,0.0
Varakļāni,64.56,396,234.0,27.59
Varakļānu pag.,133.46,186,0.0,0.0
Variešu pag.,272.75,385,0.0,0.0
Variņu pag.,173.99,207,0.0,0.0
Vecates pag.,102.03,98,0.0,0.0
Vecauces pag.,78.69,112,0.0,0.0
Veclaicenes pag.,170.66,392,0.0,0.0
Vecpiebalgas pag.,258.77,527,0.0,0.0
Vecpils pag.,166.72,253,0.0,0.0
Vecsalienas pag.,160.39,149,0.0,0.0
Vecsaules pag.,322.82,594,0.0,0.0
Vectilžas pag.,106.57,119,0.0,0.0
Vecumnieku pag.,629.62,1233,0.0,0.0
Vecumu pag.,221.33,285,0.0,0.0
Ventspils,803.65,6413,1455.0,55.23
Veselavas pag.,136.14,295,0.0,0.0
Vestienas pag.,272.2,413,0.0,0.0
Vidrižu pag.,222.43,582,0.0,0.0
Viesatu pag.,88.55,136,0.0,0.0
Viesturu pag.,151.78,222,0.0,0.0
Viesīte,69.88,760,0.0,0.0
Viesītes pag.,388.16,339,0.0,0.0
Vietalvas pag.,258.41,397,0.0,0.0
Vijciema pag.,192.67,210,0.0,0.0
Vilces pag.,235.68,446,0.0,0.0
Vilpulkas pag.,132.18,117,0.0,0.0
Virbu pag.,128.33,427,0.0,0.0
Vircavas pag.,170.69,287,0.0,0.0
Virešu pag.,226.32,254,0.0,0.0
Virgas pag.,182.62,268,0.0,0.0
Viļaka,63.79,321,0.0,0.0
Viļāni,59.94,410,0.0,0.0
Viļānu pag.,213.75,286,0.0,0.0
Viļķenes pag.,316.11,445,0.0,0.0
Višķu pag.,267.75,607,0.0,0.0
Vānes pag.,229.73,345,0.0,0.0
Vārkavas pag.,160.76,127,0.0,0.0
Vārmes pag.,261.17,417,0.0,0.0
Vārves pag.,359.93,791,0.0,0.0
Vērgales pag.,411.95,853,0.0,0.0
Vērēmu pag.,219.59,607,0.0,0.0
Vīksnas pag.,190.84,196,0.0,0.0
Vīpes pag.,127.6,180,0.0,0.0
Vītiņu pag.,204.89,214,0.0,0.0
Zalves pag.,305.86,322,0.0,0.0
Zantes pag.,143.15,214,0.0,0.0
Zasas pag.,162.45,198,0.0,0.0
Zaubes pag.,246.2,371,0.0,0.0
Zaļenieku pag.,248.15,586,0.0,0.0
Zaļesjes pag.,237.92,420,0.0,0.0
Zaņas pag.,152.46,269,0.0,0.0
Zebrenes pag.,155.47,158,0.0,0.0
Zeltiņu pag.,104.63,180,0.0,0.0
Zemītes pag.,213.78,712,0.0,0.0
Zentenes pag.,206.4,266,0.0,0.0
Ziemera pag.,247.77,696,0.0,0.0
Zilupe,54.81,441,0.0,0.0
Zilākalna pag.,43.75,110,0.0,0.0
Ziru pag.,288.91,322,0.0,0.0
Zirņu pag.,352.28,529,0.0,0.0
Zlēku pag.,239.42,347,0.0,0.0
Zosēnu pag.,142.67,129,0.0,0.0
Zvirgzdenes pag.,147.53,173,0.0,0.0
Zvārdes pag.,246.29,184,0.0,0.0
Zvārtavas pag.,296.39,316,0.0,0.0
Ābeļu pag.,207.52,279,0.0,0.0
Ādaži,0.0,0,398.0,0.0
Ādažu pag.,970.49,6338,0.0,0.0
Ārlavas pag.,316.13,559,0.0,0.0
Čornajas pag.,250.14,512,0.0,0.0
Ēdoles pag.,393.11,710,0.0,0.0
Ērgļu pag.,286.12,501,0.0,0.0
Ērģemes pag.,275.65,453,0.0,0.0
Ēveles pag.,109.93,162,0.0,0.0
Ģibuļu pag.,706.81,1575,0.0,0.0
Īles pag.,165.4,211,0.0,0.0
Īslīces pag.,197.83,274,0.0,0.0
Īvandes pag.,195.25,366,0.0,0.0
Īves pag.,144.93,289,0.0,0.0
Ķegums,87.08,716,0.0,0.0
Ķeipenes pag.,199.25,407,0.0,0.0
Ķekava,0.0,0,514.0,0.0
Ķekavas pag.,1039.17,5006,0.0,0.0
