municipality_name,osm_road_km,num_segments,road_length_km,completeness_pct,category,difference_km
Līgatne,81.82,710,,,No data,
Līgatnes pag.,349.84,1090,,,No data,
Līgo pag.,100.47,78,,,No data,
Līksnas pag.,514.27,994,,,No data,
Līvbērzes pag.,317.89,820,,,No data,
Līvāni,123.88,772,,,No data,
Lūznavas pag.,187.33,439,,,No data,
Madlienas pag.,303.17,467,,,No data,
Madona,218.25,1641,390.8,55.85,Low,-172.55
Malienas pag.,118.6,304,,,No data,
Malnavas pag.,308.46,413,,,No data,
Maltas pag.,218.25,573,,,No data,
Matkules pag.,133.32,280,,,No data,
Matīšu pag.,145.67,226,,,No data,
Mazozolu pag.,168.7,172,,,No data,
Mazsalaca,47.71,322,,,No data,
Mazsalacas pag.,137.07,333,,,No data,
Mazzalves pag.,281.88,269,,,No data,
Maļinovas pag.,214.82,279,,,No data,
Medumu pag.,208.01,300,,,No data,
Medzes pag.,267.87,536,,,No data,
Medņevas pag.,174.74,301,,,No data,
Meņģeles pag.,152.06,179,,,No data,
Mežotnes pag.,168.26,352,,,No data,
Mežvidu pag.,154.39,195,,,No data,
Mežāres pag.,185.99,125,,,No data,
Mores pag.,150.34,221,,,No data,
Murmastienes pag.,119.39,138,,,No data,
Mākoņkalna pag.,258.51,388,,,No data,
Mālpils pag.,453.94,1159,,,No data,
Mālupes pag.,181.85,187,,,No data,
Mārcienas pag.,230.38,386,,,No data,
Mārkalnes pag.,198.29,264,,,No data,
Mārsnēnu pag.,136.27,201,,,No data,
Mārupes pag.,786.1,5360,,,No data,
Mērdzenes pag.,105.98,69,,,No data,
Mērsraga pag.,249.07,762,,,No data,
Mētrienas pag.,149.87,134,,,No data,
Nagļu pag.,136.38,129,,,No data,
Naudītes pag.,204.49,233,,,No data,
Naujenes pag.,447.0,1230,,,No data,
Naukšēnu pag.,304.67,517,,,No data,
Nautrēnu pag.,199.37,323,,,No data,
Neretas pag.,200.94,400,,,No data,
Nirzas pag.,145.15,257,,,No data,
Novadnieku pag.,226.81,322,,,No data,
Nīcas pag.,591.39,1102,,,No data,
Nīcgales pag.,149.91,165,,,No data,
Nīgrandes pag.,163.29,360,,,No data,
Nīkrāces pag.,195.7,348,,,No data,
Nītaures pag.,301.64,439,,,No data,
Ogre,385.03,5064,510.9,75.36,Partial,-125.87
Ogresgala pag.,306.46,1100,,,No data,
Olaine,145.99,1130,,,No data,
Olaines pag.,1172.84,4247,,,No data,
Otaņķu pag.,226.01,277,,,No data,
Ozolaines pag.,215.07,551,,,No data,
Ozolmuižas pag.,126.97,277,,,No data,
Ozolnieku pag.,93.87,824,,,No data,
Ošupes pag.,229.18,340,,,No data,
Padures pag.,309.34,679,,,No data,
Palsmanes pag.,183.93,314,,,No data,
Pampāļu pag.,175.81,190,,,No data,
Pasienes pag.,245.53,322,,,No data,
Pededzes pag.,237.2,277,,,No data,
Pelču pag.,145.9,526,,,No data,
Pelēču pag.,174.23,165,,,No data,
Penkules pag.,194.02,172,,,No data,
Piedrujas pag.,147.12,312,,,No data,
Pildas pag.,186.66,211,,,No data,
Pilskalnes pag.,330.85,414,,,No data,
Piltene,62.64,210,,,No data,
Piltenes pag.,349.14,360,,,No data,
Platones pag.,179.4,252,,,No data,
Plāņu pag.,361.71,433,,,No data,
Popes pag.,314.49,490,,,No data,
Praulienas pag.,358.71,602,,,No data,
Preiļi,95.07,692,,,No data,
Preiļu pag.,227.52,349,,,No data,
Priekule,81.14,553,,,No data,
Priekules pag.,269.72,292,,,No data,
Priekuļu pag.,365.37,1356,,,No data,
Prodes pag.,123.92,103,,,No data,
Pureņu pag.,100.45,118,,,No data,
Puzes pag.,308.59,383,,,No data,
Pušas pag.,183.92,209,,,No data,
Pušmucovas pag.,97.09,121,,,No data,
Pāles pag.,202.29,309,,,No data,
Pāvilosta,97.5,456,,,No data,
Pļaviņas,73.87,332,,,No data,
Pūres pag.,208.85,498,,,No data,
Raiskuma pag.,477.78,1026,,,No data,
Ramatas pag.,171.72,153,,,No data,
Rankas pag.,284.66,390,,,No data,
Raunas pag.,371.62,655,,,No data,
Raņķu pag.,97.51,251,,,No data,
Rembates pag.,231.41,556,,,No data,
Remtes pag.,203.49,252,,,No data,
Rencēnu pag.,266.15,384,,,No data,
Rendas pag.,524.14,769,,,No data,
Riebiņu pag.,200.79,332,,,No data,
Rikavas pag.,127.03,127,,,No data,
Rites pag.,141.37,117,,,No data,
Robežnieku pag.,169.89,189,,,No data,
Rojas pag.,597.46,1771,,,No data,
Ropažu pag.,1110.38,3115,,,No data,
Rožkalnu pag.,150.25,169,,,No data,
Rožupes pag.,238.33,232,,,No data,
Rubas pag.,157.53,297,,,No data,
Rubenes pag.,276.78,345,,,No data,
Rucavas pag.,405.06,538,,,No data,
Rudbāržu pag.,237.98,360,,,No data,
Rudzātu pag.,148.6,139,,,No data,
Rugāju pag.,385.51,525,,,No data,
Rumbas pag.,380.61,736,,,No data,
Rundāles pag.,235.65,756,,,No data,
Rundēnu pag.,214.55,235,,,No data,
Rušonas pag.,321.09,495,,,No data,
Rēzekne,389.36,3703,380.4,102.36,Complete,8.96
Rīga,6995.63,84770,1250.5,559.43,Over-mapped,5745.13
Rūjiena,82.28,328,,,No data,
Sabile,48.11,268,,,No data,
Sakas pag.,604.32,753,,,No data,
Sakstagala pag.,151.65,181,,,No data,
Salacgrīva,123.07,666,,,No data,
Salacgrīvas pag.,576.67,1091,,,No data,
Salas pag.,627.93,1616,,,No data,
Salaspils,266.54,2821,120.5,221.2,Over-mapped,146.04
Salaspils pag.,600.8,2947,,,No data,
Saldus,166.72,1075,310.7,53.66,Low,-143.98
Saldus pag.,150.24,452,,,No data,
Salgales pag.,323.59,499,,,No data,
Salienas pag.,280.42,307,,,No data,
Salnavas pag.,231.49,206,,,No data,
Sarkaņu pag.,312.5,348,,,No data,
Saukas pag.,190.87,281,,,No data,
Saulkrasti,148.44,1533,,,No data,
Saulkrastu pag.,387.22,2275,,,No data,
Saunas pag.,144.25,106,,,No data,
Sausnējas pag.,185.69,226,,,No data,
Seces pag.,275.61,319,,,No data,
Seda,33.31,230,,,No data,
Sesavas pag.,154.98,256,,,No data,
Sigulda,367.93,3533,,,No data,
Siguldas pag.,241.27,678,,,No data,
Silajāņu pag.,76.52,62,,,No data,
Silmalas pag.,288.77,426,,,No data,
Skaistas pag.,175.51,179,,,No data,
Skaistkalnes pag.,195.01,398,,,No data,
Skaņkalnes pag.,206.78,380,,,No data,
Skrudalienas pag.,255.73,513,,,No data,
Skrunda,70.12,730,,,No data,
Skrundas pag.,405.03,572,,,No data,
Skrīveru pag.,288.51,703,,,No data,
Skujenes pag.,325.11,477,,,No data,
Skultes pag.,412.01,1691,,,No data,
Slampes pag.,284.08,812,,,No data,
Smiltene,139.29,944,,,No data,
Smiltenes pag.,189.43,425,,,No data,
Smārdes pag.,555.12,1881,,,No data,
Snēpeles pag.,169.13,418,,,No data,
Sokolku pag.,86.68,85,,,No data,
Stabulnieku pag.,116.92,109,,,No data,
Staburaga pag.,108.38,176,,,No data,
Staicele,50.69,200,,,No data,
Staiceles pag.,258.88,316,,,No data,
Stalbes pag.,270.11,435,,,No data,
Stelpes pag.,132.02,280,,,No data,
Stende,73.72,536,,,No data,
Stopiņu pag.,634.91,4716,,,No data,
Stoļerovas pag.,152.11,281,,,No data,
Stradu pag.,291.27,414,,,No data,
Straupes pag.,349.87,829,,,No data,
Strazdes pag.,115.96,233,,,No data,
Strenči,74.78,459,,,No data,
Stružānu pag.,41.45,78,,,No data,
Stāmerienas pag.,222.61,319,,,No data,
Subate,47.44,194,,,No data,
